2019-04-21 2:26:08 - PHP Notice:  Error: Could not load template /home/thiago/Projetos/loja.droid.com.br/public/catalog/view/theme/default/template/common/footertop.tpl! in /home/thiago/Projetos/loja.droid.com.br/public/system/library/template/php.php on line 23
2019-04-21 2:30:42 - PHP Warning:  move_uploaded_file(/home/thiago/Projetos/loja.droid.com.br/public/image/catalog/logo.png): failed to open stream: Permission denied in /home/thiago/Projetos/loja.droid.com.br/public/admin/controller/common/filemanager.php on line 288
2019-04-21 2:30:42 - PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpsDmQk4' to '/home/thiago/Projetos/loja.droid.com.br/public/image/catalog/logo.png' in /home/thiago/Projetos/loja.droid.com.br/public/admin/controller/common/filemanager.php on line 288
2019-06-16 15:57:22 - PHP Notice:  Trying to get property 'access_token' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 122
2019-06-16 15:57:22 - PHP Notice:  Trying to get property 'expires_in' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 123
2019-06-16 15:57:22 - PHP Notice:  Trying to get property 'refresh_token' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 124
2019-06-16 15:57:22 - PHP Notice:  Trying to get property 'user_id' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 125
2019-06-16 15:57:22 - PHP Notice:  Trying to get property 'scope' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 126
2019-06-16 15:57:22 - PHP Notice:  Trying to get property 'token_type' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 127
2019-06-16 15:57:23 - PHP Notice:  Undefined index: user_token in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 342
2019-06-16 15:57:23 - PHP Notice:  Undefined index: user_token in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 343
2019-06-16 15:57:23 - PHP Notice:  Undefined index: user_token in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 344
2019-06-16 15:57:23 - PHP Notice:  Error: Could not load template /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl! in /var/www/html/loja.droid.com.br/public/system/library/template/php.php on line 23
2019-06-16 15:58:43 - PHP Notice:  Undefined index: user_token in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 342
2019-06-16 15:58:43 - PHP Notice:  Undefined index: user_token in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 343
